analysis,feature,n,spearman_vs_stage,p_spearman,won_vs_lost_effect,p_mwu,won_median,lost_median,q_spearman,q_mwu
within-rep-z,arousal,60,0.18561330311494012,0.15564209720077968,0.23774509803921573,0.2039096433330242,0.32916685118752653,0.12718167854831408,0.9373308498221244,0.8092676278746366
within-rep-z,HNRdBACF_sma3nz_stddevNorm,60,0.18240612947070672,0.16303885505525495,0.32352941176470584,0.08303990817936754,-0.010905558560783275,-0.5939544885082334,0.9373308498221244,0.7153202464977294
within-rep-z,alphaRatioV_sma3nz_stddevNorm,60,-0.18167801942172576,0.16475347904785423,-0.3921568627450981,0.035396499573923865,0.15131875096872766,0.21937740392036872,0.9373308498221244,0.5899416595653978
within-rep-z,mfcc1V_sma3nz_amean,60,-0.17870733042188353,0.17188625768300428,-0.33333333333333337,0.07406050117984497,-0.27894282770243906,0.3999508885112457,0.9373308498221244,0.7153202464977294
within-rep-z,pace_peaks_per_sec,60,0.1750790460833009,0.18089998913227714,0.4019607843137254,0.030947062652119942,-0.26167162034156766,-0.6999393588446862,0.9373308498221244,0.5899416595653978
within-rep-z,mfcc4V_sma3nz_stddevNorm,60,0.16003858876601207,0.22190908943772533,0.32352941176470584,0.08303990817936754,0.24331611035177317,0.20266956993633878,0.9373308498221244,0.7153202464977294
within-rep-z,loudness_mean,60,0.15378325189423697,0.24074134844221481,0.29166666666666674,0.1184356338401533,-0.034821910517708006,-0.4248079508758428,0.9373308498221244,0.7153202464977294
within-rep-z,F2bandwidth_sma3nz_stddevNorm,60,0.1453890145805154,0.267693438522405,0.2450980392156863,0.19022665361389512,0.11950773448151324,-0.11916555056030835,0.9373308498221244,0.8092676278746366
within-rep-z,mfcc3V_sma3nz_amean,60,-0.14352505285512418,0.27394195073139854,-0.1470588235294118,0.4350067383993107,-0.2581845492033911,0.40345295708456236,0.9373308498221244,0.8476106114088565
within-rep-z,spectralFluxV_sma3nz_amean,60,0.14311731122769483,0.27532164564168005,0.2549019607843137,0.17293466931756118,0.1810414760127296,-0.6862655106666338,0.9373308498221244,0.8092676278746366
within-rep-z,mfcc1_sma3_amean,60,-0.14215620596304002,0.2785920291739091,-0.18627450980392157,0.32102426893048785,-0.11520883721716058,0.39121873825445347,0.9373308498221244,0.8148732012498945
within-rep-z,mfcc3_sma3_amean,60,-0.1417775887375699,0.2798874002781336,-0.18137254901960786,0.33409801251245674,-0.4234724190501119,0.3686611400597641,0.9373308498221244,0.8148732012498945
within-rep-z,mfcc2_sma3_stddevNorm,60,-0.1357779619339669,0.3009458596111395,-0.2941176470588235,0.11536336176616835,0.19203849978177612,0.23280535067164215,0.9373308498221244,0.7153202464977294
within-rep-z,slopeUV500-1500_sma3nz_amean,60,-0.13557597465618484,0.3016722524016416,-0.2549019607843137,0.17291595772955592,-0.453998987648065,-0.0012365565993341426,0.9373308498221244,0.8092676278746366
within-rep-z,loudness_sma3_stddevRisingSlope,60,0.12922497149313839,0.3250910591686817,0.25,0.18142780725205987,0.21460228697730782,-0.202377798050589,0.9373308498221244,0.8092676278746366
within-rep-z,spectralFluxV_sma3nz_stddevNorm,60,0.12858423465003518,0.3275160204437176,0.10784313725490202,0.5693898459625074,0.12409449680087564,-0.06269382335482336,0.9373308498221244,0.8759843784038576
within-rep-z,F3bandwidth_sma3nz_amean,60,-0.12648727770897003,0.3355319540047484,-0.05392156862745101,0.7811202411741249,-0.24046495229283094,-0.0047086653082632915,0.9373308498221244,0.9880988962733768
within-rep-z,MeanUnvoicedSegmentLength,60,-0.1263707801011331,0.33598086059447346,-0.20588235294117652,0.27211434718582894,-0.30739371589162023,-0.13272918224198502,0.9373308498221244,0.8148732012498945
within-rep-z,arousal_fade,52,0.12901311077364336,0.36201682455995327,0.2271062271062272,0.2796428847123327,-0.17680088259997,-0.20954178678514962,0.9373308498221244,0.8148732012498945
within-rep-z,StddevUnvoicedSegmentLength,60,-0.11751696190552477,0.37119469635440555,-0.18627450980392157,0.32102426893048785,-0.4026873370580216,-0.22502481270637034,0.9373308498221244,0.8148732012498945
within-rep-z,mfcc4_sma3_stddevNorm,60,-0.11410940687629395,0.38532061025720715,-0.08823529411764708,0.6432933289838867,-0.15068568150661188,-0.1708292496389437,0.9373308498221244,0.918990469976981
within-rep-z,alphaRatioV_sma3nz_amean,60,0.11157558390584024,0.39602891098256765,0.23039215686274517,0.21850225952615188,-0.014008766646792334,-0.4948200102198599,0.9373308498221244,0.8092676278746366
within-rep-z,hammarbergIndexV_sma3nz_amean,60,-0.10694480399432142,0.4160454408941006,-0.23039215686274506,0.21850225952615188,-0.015483468839081306,0.43554414051240314,0.9373308498221244,0.8092676278746366
within-rep-z,loudnessPeaksPerSec,60,0.10679918198452523,0.41668417513970984,0.2647058823529411,0.15684574602623347,0.11049739240355441,-0.26658728161553386,0.9373308498221244,0.8092676278746366
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,60,0.1056924547100742,0.4215569318779503,0.18137254901960786,0.33409801251245674,-0.011786907595676611,-0.30308985088881696,0.9373308498221244,0.8148732012498945
within-rep-z,mfcc1_sma3_stddevNorm,60,0.10417798580819383,0.4282773702756821,0.21568627450980382,0.24967790631269726,-0.14840980725475614,-0.5809037018363633,0.9373308498221244,0.8148732012498945
within-rep-z,jitterLocal_sma3nz_amean,60,0.10295476092590584,0.4337494523791073,0.16176470588235303,0.38976633111321446,-0.032862147429833746,-0.5121927233188659,0.9373308498221244,0.8476106114088565
within-rep-z,hammarbergIndexUV_sma3nz_amean,60,-0.10211015326908794,0.4375506518726263,-0.19117647058823528,0.3082893602150767,-0.04298870474148343,0.1716183542792812,0.9373308498221244,0.8148732012498945
within-rep-z,HNRdBACF_sma3nz_amean,60,-0.09983844991626738,0.447866656618961,-0.18627450980392157,0.32102426893048785,-0.1882552601074119,0.3227983279378449,0.9373308498221244,0.8148732012498945
within-rep-z,F2frequency_sma3nz_amean,60,0.0952367944067078,0.4691698391234672,0.18627450980392157,0.32102426893048785,0.24338898245119003,-0.1351160547474344,0.9373308498221244,0.8148732012498945
within-rep-z,F2bandwidth_sma3nz_amean,60,-0.09051864128931127,0.49156682299064264,-0.10784313725490191,0.5693898459625074,-0.062342363904245766,0.3190228533917501,0.9373308498221244,0.8759843784038576
within-rep-z,mfcc1V_sma3nz_stddevNorm,60,0.08941191401486023,0.49690016752134514,0.3431372549019607,0.06589091634621465,-0.021945284867321398,-0.7364016079159807,0.9373308498221244,0.7153202464977294
within-rep-z,spectralFlux_sma3_amean,60,0.08681984224048805,0.509507978544456,0.196078431372549,0.2958931880403345,0.23636587851615626,-0.0252198986043126,0.9373308498221244,0.8148732012498945
within-rep-z,f0_std_semitones,60,0.0838514831280614,0.524143768170546,0.24019607843137258,0.19933583146564782,-0.0046645244991832,-0.45115105615127554,0.9373308498221244,0.8092676278746366
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,60,0.08370353123084961,0.5248787101108211,0.17156862745098045,0.36125999554501764,-0.20397069317668187,-0.5293663715682196,0.9373308498221244,0.8476106114088565
within-rep-z,loudness_sma3_percentile80.0,60,0.07694666997630643,0.5589809860469016,0.1470588235294117,0.4350067383993107,0.10821861949170325,-0.30379844637095926,0.9373308498221244,0.8476106114088565
within-rep-z,F2amplitudeLogRelF0_sma3nz_stddevNorm,60,0.07435459820193425,0.572335598256587,0.0490196078431373,0.8015074505848662,0.012568486911878661,-0.17023151422049837,0.9373308498221244,0.9880988962733768
within-rep-z,StddevVoicedSegmentLengthSec,60,-0.0736566358551002,0.5759566203751162,-0.2009803921568627,0.2838351887755598,-0.07956395876873232,0.10173635612859372,0.9373308498221244,0.8148732012498945
within-rep-z,logRelF0-H1-A3_sma3nz_amean,60,-0.07316049772160552,0.5785369671640929,-0.1519607843137255,0.4195998914812339,0.09276867157205879,0.17473390100415317,0.9373308498221244,0.8476106114088565
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,60,0.07138390920209199,0.5878198745182401,0.06862745098039214,0.7209062417708143,-0.0501893320445746,-0.09699418791740967,0.9373308498221244,0.9741976240146138
within-rep-z,loudness_sma3_pctlrange0-2,60,0.07027718192764096,0.5936363621176998,0.13725490196078427,0.46678061452897934,-0.038730477995972845,-0.38332770093147733,0.9373308498221244,0.8476106114088565
within-rep-z,loudness_sma3_amean,60,0.06818022498657582,0.6047268061211988,0.1470588235294117,0.4350067383993107,0.0019415865474267657,-0.3307039340044864,0.9373308498221244,0.8476106114088565
within-rep-z,jitterLocal_sma3nz_stddevNorm,60,-0.06733561732975793,0.6092192097338773,-0.039215686274509776,0.8426765356863225,-0.1811673232181804,-0.09576209911168833,0.9373308498221244,0.9880988962733768
within-rep-z,alphaRatioUV_sma3nz_amean,60,0.06541340680044824,0.6194967465309434,0.1519607843137254,0.4195998914812339,-0.14788443331218198,-0.5723576958479394,0.9373308498221244,0.8476106114088565
within-rep-z,loudness_cv,60,-0.06481079898581324,0.6227338208200524,-0.25735294117647056,0.1687455600787533,0.03056534428646948,0.7005225622708241,0.9373308498221244,0.8092676278746366
within-rep-z,F1frequency_sma3nz_amean,60,0.06451055033971186,0.6243493491389879,0.13725490196078427,0.46678061452897934,0.135540892485514,-0.011970110884380044,0.9373308498221244,0.8476106114088565
within-rep-z,equivalentSoundLevel_dBp,60,0.06369506708485322,0.6287460331096055,0.12254901960784315,0.5167658751032107,0.21902848654565008,-0.21550554103807146,0.9373308498221244,0.8612764585053512
within-rep-z,F1bandwidth_sma3nz_amean,60,-0.0621514737810136,0.637103431132948,-0.1029411764705882,0.5874826975965008,-0.16729105245628828,0.1530117015368208,0.9373308498221244,0.8768398471589565
within-rep-z,MeanVoicedSegmentLengthSec,60,-0.06084172095741571,0.6442302376675099,-0.19117647058823528,0.3082893602150767,0.11404252662781822,0.22998540616143498,0.9373308498221244,0.8148732012498945
within-rep-z,F3amplitudeLogRelF0_sma3nz_amean,60,-0.060491382869337036,0.6461419914036168,-0.039215686274509776,0.8426765356863225,0.0517911666270315,0.3192059850792486,0.9373308498221244,0.9880988962733768
within-rep-z,logRelF0-H1-H2_sma3nz_stddevNorm,60,0.0597632728203561,0.6501224786845912,0.02941176470588225,0.8842802463955904,-0.04623076701779727,-0.04867335171829795,0.9373308498221244,0.9880988962733768
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,60,0.05679258382051384,0.6664628423298286,0.22058823529411775,0.23895815362175832,-0.1893774185791754,-0.3032623132411747,0.9373308498221244,0.8148732012498945
within-rep-z,shimmerLocaldB_sma3nz_stddevNorm,60,0.05591885176173669,0.6712987480353574,0.02941176470588225,0.8842802463955904,-0.14450629206942958,-0.19669600728555814,0.9373308498221244,0.9880988962733768
within-rep-z,F1bandwidth_sma3nz_stddevNorm,60,0.05350152639911995,0.6847468079963206,0.14215686274509798,0.4507351553552438,-0.038007685642326476,-0.23336375902329917,0.9373308498221244,0.8476106114088565
within-rep-z,slopeV500-1500_sma3nz_amean,60,-0.051987779755379146,0.6932182331671229,-0.1421568627450981,0.4507351553552438,-0.3029211728442939,0.4799764905703826,0.9373308498221244,0.8476106114088565
within-rep-z,F2amplitudeLogRelF0_sma3nz_amean,60,-0.05172493787960644,0.6946930318732283,-0.039215686274509776,0.8426765356863225,0.03149913689710872,0.420285069590835,0.9373308498221244,0.9880988962733768
within-rep-z,F1frequency_sma3nz_stddevNorm,60,-0.051521067065891775,0.6958377213721131,-0.11274509803921573,0.5515673446241796,0.03028452207154491,0.07350865288923468,0.9373308498221244,0.8755037216256819
within-rep-z,loudness_sma3_percentile20.0,60,0.05015222017380759,0.7035408694307358,0.09313725490196068,0.624443932080426,-0.20170453807498145,-0.2719366642313983,0.9373308498221244,0.9182999001182736
within-rep-z,loudness_sma3_percentile50.0,60,0.04907461730131579,0.7096260107915969,0.13235294117647056,0.4831380485030482,-0.06088883886141329,-0.34256786792791677,0.9373308498221244,0.8476106114088565
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_amean,60,0.048346507252334844,0.7137478554425092,0.13235294117647056,0.4831380485030482,-0.13161174264636172,-0.46000111773747226,0.9373308498221244,0.8476106114088565
within-rep-z,mfcc2V_sma3nz_amean,60,0.04700678476220991,0.7213532715443599,0.019607843137254832,0.9262055959936603,0.28139088704552945,0.22281042245264887,0.9373308498221244,0.9880988962733768
within-rep-z,F3frequency_sma3nz_stddevNorm,60,-0.04590005748775887,0.7276563470794736,-0.019607843137254943,0.9262055959936603,-0.1055909146443596,-0.10649109294482266,0.9373308498221244,0.9880988962733768
within-rep-z,F3bandwidth_sma3nz_stddevNorm,60,-0.04552144026228877,0.729816812651307,-0.1568627450980392,0.40451860425691677,-0.04264850685268552,0.4174111263986791,0.9373308498221244,0.8476106114088565
within-rep-z,words,60,0.044036095762367646,0.7383125277064803,0.10294117647058831,0.5874826975965008,-0.0031415636754525125,-0.41158713029893185,0.9373308498221244,0.8768398471589565
within-rep-z,F3amplitudeLogRelF0_sma3nz_stddevNorm,60,0.043832224948652986,0.7394810653184563,0.009803921568627416,0.9683369183479092,0.1057652200352554,0.056846610254503153,0.9373308498221244,0.9880988962733768
within-rep-z,speech_min,60,0.0425251717572041,0.746986591980476,0.11274509803921573,0.5514806685222136,-0.09280317463921271,-0.4350560238233579,0.9373308498221244,0.8755037216256819
within-rep-z,mfcc4V_sma3nz_amean,60,-0.03876457900774559,0.7687096026562454,-0.06862745098039214,0.7209062417708143,-0.11019969510116454,0.0028625619105103767,0.9373308498221244,0.9741976240146138
within-rep-z,spectralFluxUV_sma3nz_amean,60,0.03803646895876464,0.7729366195839101,0.11274509803921573,0.5515673446241796,-0.0002607044250460405,-0.27083178924982726,0.9373308498221244,0.8755037216256819
within-rep-z,logRelF0-H1-H2_sma3nz_amean,60,-0.037774349341131504,0.7744599601411641,0.019607843137254832,0.9262055959936603,-0.18177912799960272,-0.08116469055966409,0.9373308498221244,0.9880988962733768
within-rep-z,F2frequency_sma3nz_stddevNorm,60,0.03607107295632329,0.7843791312048682,-0.019607843137254943,0.9262055959936603,-0.09949721852010174,0.08088245563491828,0.9373308498221244,0.9880988962733768
within-rep-z,mfcc3_sma3_stddevNorm,60,0.03474541153737076,0.7921229958174033,0.019607843137254832,0.9262055959936603,-0.013787614674368724,-0.10054374579931216,0.9373308498221244,0.9880988962733768
within-rep-z,mfcc4_sma3_amean,60,-0.034250296704063724,0.7950203884193499,-0.08823529411764708,0.6432933289838867,-0.13864254152323693,0.06339467085062929,0.9373308498221244,0.918990469976981
within-rep-z,VoicedSegmentsPerSec,60,0.0326193301943464,0.8045840305972654,-0.004901960784313708,0.989443175779737,-0.1727917178626564,-0.031744931872209184,0.9373308498221244,0.989443175779737
within-rep-z,mfcc3V_sma3nz_stddevNorm,60,0.030697119665036705,0.8158920348720167,-0.02941176470588236,0.8842802463955904,0.03831472140835611,0.15627782205447466,0.9373308498221244,0.9880988962733768
within-rep-z,F1amplitudeLogRelF0_sma3nz_stddevNorm,60,0.029240899567074815,0.8244837651988988,0.004901960784313708,0.989443175779737,-0.14155016322356961,-0.28228567353685124,0.9373308498221244,0.989443175779737
within-rep-z,mfcc2V_sma3nz_stddevNorm,60,0.027930301478909104,0.8322339028098515,0.06862745098039214,0.7209062417708143,0.0813848603941531,0.0971868004435116,0.9373308498221244,0.9741976240146138
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,60,0.02749343544952054,0.8348208541647921,0.05882352941176472,0.7608823792547115,-0.2036916794518341,-0.24524042422966347,0.9373308498221244,0.9880988962733768
within-rep-z,logRelF0-H1-A3_sma3nz_stddevNorm,60,0.027260440233846637,0.8362012754942175,0.12254901960784315,0.5167658751032107,-0.2424203742101973,-0.36104434610590325,0.9373308498221244,0.8612764585053512
within-rep-z,loudness_sma3_stddevNorm,60,-0.026590578988784166,0.8401727103011736,-0.12745098039215685,0.4998018503261805,-0.07983568089607757,-0.267372911843013,0.9373308498221244,0.8612764585053512
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,60,0.02493048807710761,0.850031851584364,0.0490196078431373,0.8015074505848662,-0.018014219599178205,0.06667552834882276,0.9373308498221244,0.9880988962733768
within-rep-z,F1amplitudeLogRelF0_sma3nz_amean,60,-0.023998507214411997,0.8555769352975918,-0.014705882352941124,0.9472528184220939,0.1547864803336097,0.49488689094144095,0.9373308498221244,0.9880988962733768
within-rep-z,questions,60,0.023083208217687712,0.8610295350442261,0.014705882352941124,0.9471884688173465,-0.22966988337622055,-0.16788386245853554,0.9373308498221244,0.9880988962733768
within-rep-z,spectralFlux_sma3_stddevNorm,60,0.02286265553800172,0.8623443818363544,-0.03431372549019607,0.8634310507272129,0.007268084129002367,-0.11825688954866777,0.9373308498221244,0.9880988962733768
within-rep-z,slopeV500-1500_sma3nz_stddevNorm,60,0.020882196204773544,0.8741673183418333,0.0490196078431373,0.8015074505848662,0.37195036965121475,0.025873051682578304,0.9399648584320788,0.9880988962733768
within-rep-z,F3frequency_sma3nz_amean,60,-0.012552617244431519,0.9241635256082688,-0.009803921568627416,0.9683369183479092,-0.13006741809848113,0.0823713019537855,0.9696975314527188,0.9880988962733768
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,60,-0.010717779920999532,0.935222886528192,0.03431372549019618,0.8634310507272129,-0.2711384182944664,-0.3772407371689916,0.9696975314527188,0.9880988962733768
within-rep-z,mfcc2_sma3_amean,60,-0.008941191401486024,0.9459427905337513,-0.02941176470588236,0.8842802463955904,0.10618032379226872,0.2010289130202635,0.9696975314527188,0.9880988962733768
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,60,-0.00800921053879041,0.951570281672011,0.13725490196078427,0.46678061452897934,-0.1557085972825647,-0.5147755875051959,0.9696975314527188,0.8476106114088565
within-rep-z,hammarbergIndexV_sma3nz_stddevNorm,60,0.007572344509401844,0.954208994760993,0.15686274509803932,0.40451860425691677,-0.1388131575593759,-0.5099834739637231,0.9696975314527188,0.8476106114088565
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,60,-0.0053006411565812905,0.967937548957642,0.08333333333333326,0.6623751309779664,0.20025757627017293,-0.13317174901021941,0.9696975314527188,0.9329227196872766
within-rep-z,talk_share_pct,60,-0.005009536331374283,0.9696975314527188,0.009803921568627416,0.9683369183479092,-0.1760706864103519,-0.3304929244641462,0.9696975314527188,0.9880988962733768
